Year,Releases,Average per month,,,,,,,,,,,,,,,,,
2021,"47,014",3918,,,,,,,,,,,,,,,,,
2022,"46,034",3836,,,,,,,,,,,,,,,,,
2023,"48,301",4025,,,,,,,,,,,,,,,,,
2024 (Jan to end of June),"26,627",4438,,,,,,,,,,,,,,,,,
Overall average per month,,4054,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Year (by date released),PRDs,Year average month,,,PRDs,,,Year,Releases (rounded to 100),PRDs,Month averages,Deaths for every prisoner released,Deaths for every 100 prisoners released,Deaths for every 1000 prisoner released,,,,Year,Deaths for every 1000 prisoner released
Sep-21,3,,,Jan average,2,,,Sep-21,3900,3,4,0.0008,0.08,0.8,,,,Sep-21,0.8
Oct-21,6,,,Feb average,4,,,Oct-21,4100,6,6,0.0015,0.15,1.5,,,,Oct-21,1.5
Nov-21,1,,,Mar average,5,,,Nov-21,4100,1,3,0.0002,0.02,0.2,,,,Nov-21,0.2
Dec-21,5,4,,Apr average,7,,,Dec-21,4100,5,6,0.0012,0.12,1.2,,,,Dec-21,1.2
Jan-22,4,,,May average,6,,,Jan-22,3800,4,2,0.0011,0.11,1.1,,,,Jan-22,1.1
Feb-22,4,,,Jun average,6,,,Feb-22,3800,4,4,0.0011,0.11,1.1,,,,Feb-22,1.1
Mar-22,7,,,Jul average,6,,,Mar-22,3800,7,5,0.0018,0.18,1.8,,,,Mar-22,1.8
Apr-22,6,,,Aug average,6,,,Apr-22,3800,6,7,0.0016,0.16,1.6,,,,Apr-22,1.6
May-22,5,,,Sep average,4,,,May-22,3800,5,6,0.0013,0.13,1.3,,,,May-22,1.3
Jun-22,6,,,Oct average,6,,,Jun-22,3800,6,6,0.0016,0.16,1.6,,,,Jun-22,1.6
Jul-22,7,,,Nov average,3,,,Jul-22,3900,7,6,0.0018,0.18,1.8,,,,Jul-22,1.8
Aug-22,9,,,Dec average,6,,,Aug-22,3900,9,6,0.0023,0.23,2.3,,,,Aug-22,2.3
Sep-22,6,,,,,,,Sep-22,3900,6,4,0.0015,0.15,1.5,,,,Sep-22,1.5
Oct-22,9,,,,,,,Oct-22,3900,9,6,0.0023,0.23,2.3,,,,Oct-22,2.3
Nov-22,5,,,,,,,Nov-22,3900,5,3,0.0013,0.13,1.3,,,,Nov-22,1.3
Dec-22,8,6,,,,,,Dec-22,3900,8,6,0.0021,0.21,2.1,,,,Dec-22,2.1
Jan-23,2,,,,,,,Jan-23,4000,2,2,0.0005,0.05,0.5,,,,Jan-23,0.5
Feb-23,1,,,,,,,Feb-23,4000,1,4,0.0003,0.03,0.3,,,,Feb-23,0.3
Mar-23,3,,,,,,,Mar-23,4000,3,5,0.0008,0.08,0.8,,,,Mar-23,0.8
Apr-23,5,,,,,,,Apr-23,4000,5,7,0.0013,0.13,1.3,,,,Apr-23,1.3
May-23,5,,,,,,,May-23,4000,5,6,0.0013,0.13,1.3,,,,May-23,1.3
Jun-23,5,,,,,,,Jun-23,4000,5,6,0.0013,0.13,1.3,,,,Jun-23,1.3
Jul-23,6,,,,,,,Jul-23,4100,6,6,0.0015,0.15,1.5,,,,Jul-23,1.5
Aug-23,8,,,,,,,Aug-23,4100,8,6,0.0020,0.20,2.0,,,,Aug-23,2.0
Sep-23,4,,,,,,,Sep-23,4100,4,4,0.0010,0.10,1.0,,,,Sep-23,1.0
Oct-23,6,,,,,,,Oct-23,4000,6,6,0.0015,0.15,1.5,,,,Oct-23,1.5
Nov-23,4,,,,,,,Nov-23,4000,4,3,0.0010,0.10,1.0,,,,Nov-23,1.0
Dec-23,6,5,,,,,,Dec-23,4000,6,6,0.0015,0.15,1.5,,,,Dec-23,1.5
Jan-24,1,,,,,,,Jan-24,4400,1,2,0.0002,0.02,0.2,,,,Jan-24,0.2
Feb-24,7,,,,,,,Feb-24,4400,7,4,0.0016,0.16,1.6,,,,Feb-24,1.6
Mar-24,4,,,,,,,Mar-24,4400,4,5,0.0009,0.09,0.9,,,,Mar-24,0.9
Apr-24,10,,,,,,,Apr-24,4400,10,7,0.0023,0.23,2.3,,,,Apr-24,2.3
May-24,7,,,,,,,May-24,4400,7,6,0.0016,0.16,1.6,,,,May-24,1.6
Jun-24,6,,,,,,,Jun-24,4400,6,6,0.0014,0.14,1.4,,,,Jun-24,1.4
Jul-24,6,,,,,,,Jul-24,4000,6,6,0.0015,0.15,1.5,,,,Jul-24,1.5
Aug-24,1,,,,,,,Aug-24,4000,1,6,0.0003,0.03,0.3,,,,Aug-24,0.3
Sep-24,3,,,,,,,Sep-24,5700,3,4,0.0005,0.05,0.5,,,,Sep-24,0.5
Oct-24,3,5,,,,,,Oct-24,5700,3,6,0.0005,0.05,0.5,,,,Oct-24,0.5
,,,,,,,,,,,,,,,,,,,
Overall average per month,,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Month,Release guesstimate (average month past 4 years plus extra SDS40 releases),,,,,,,,,,,,,,,,,,
Sep-24,"5,700",,,,,,,,,,,,,,,,,,
Oct-24,"5,100",,,,,,,,,,,,,,,,,,
